index,Country,Family,Freedom,Generosity,Happiness Rank,Happiness Score,Year,country_code,fertility_rate_15_19,fertility_rate_20_24,fertility_rate_25_29,fertility_rate_30_34,fertility_rate_35_39,fertility_rate_40_44,fertility_rate_45_49,total_fertility_rate,gross_reproduction_rate,sex_ratio_at_birth,fertility_rate_avg
142,Gabon,0.90528,0.31914,0.06822,143,3.896,2015,GB,95.8,151.3,174.9,156.2,102.3,48.5,7,3.68,1.8128,1.03,93.5166666666667
143,Niger,0.77265,0.47692,0.19387,144,3.845,2015,NG,188.9,285.2,289.8,255.7,186.2,110.5,34.8,6.7559,3.328,1.03,176.883333333333
144,Cambodia,0.62736,0.66246,0.40359,145,3.819,2015,CB,29.5,122.1,150.7,120.3,66,27.8,3.6,2.6,1.2714,1.045,61.55
145,Tanzania,1.00268,0.32878,0.34377,146,3.781,2015,TZ,100.5,231.3,229.9,190.8,143.1,63.4,19.1,4.89,2.4089,1.03,124.7
146,Madagascar,0.66801,0.19184,0.21333,147,3.681,2015,MA,98.9,188,198.5,169.5,110.7,61.7,12.7,4.2,2.069,1.03,106.916666666667
147,Central African Republic,0,0.48879,0.23835,148,3.678,2015,CT,123.1,201.4,212,175.6,101.3,50.2,18.4,4.4101,2.1725,1.03,111.666666666667
148,Chad,0.76062,0.23501,0.18386,149,3.667,2015,CD,171.2,280.4,285.8,246.7,164.8,73.1,23.9,6.23,3.0539,1.04,160.016666666667
149,Guinea,0.46475,0.37725,0.28657,150,3.656,2015,GV,145,205.9,223.2,197.2,138.3,72.6,31.8,5.07,2.4975,1.03,131.8
151,Burkina Faso,0.85188,0.39493,0.21747,152,3.587,2015,UV,122.4,228.9,243.3,202.9,138.4,76.6,19.5,5.16,2.5419,1.03,131.45
152,Afghanistan,0.30285,0.23414,0.3651,153,3.575,2015,AF,83.7,213.4,259.9,217.9,155.8,88.2,46.4,5.326,2.598,1.05,134.233333333333
153,Rwanda,0.7737,0.59201,0.22628,154,3.465,2015,RW,35.8,164.6,212.7,185.1,135.9,74.3,11.7,4.1,2.0197,1.03,101.233333333333
154,Benin,0.35386,0.4845,0.1826,155,3.34,2015,BN,93,213.4,241.5,206.3,137.6,73.9,24.4,4.95,2.4146,1.05,124.766666666667
155,Syria,0.47489,0.15684,0.47179,156,3.006,2015,SY,27.4,99.8,155.1,128.1,72.1,31.5,6,2.6,1.2621,1.06,60.8166666666667
156,Burundi,0.41587,0.1185,0.19727,157,2.905,2015,BY,61.5,267.3,290.4,258.1,213.2,98.3,29.2,6.09,3,1.03,154.6
157,Togo,0.13995,0.36453,0.16681,158,2.839,2015,TO,69.3,183.9,218.1,184.8,138.6,73,28.3,4.48,2.2069,1.03,112.983333333333
158,Denmark,1.16374,0.57941,0.36171,1,7.526,2016,DA,3.5,35.4,116.3,128,61,11.5,0.6,1.7873,0.8654,1.0653,40
159,Switzerland,1.14524,0.58557,0.28083,2,7.509,2016,SZ,3.1,31.2,80.8,113.3,67.4,13.7,0.8,1.5519,0.7537,1.059,38.25
160,Iceland,1.18326,0.56624,0.47678,3,7.501,2016,IC,10.8,75.4,139.2,113.3,44.7,13.4,6.2,2.01,0.9827,1.0454,43.9666666666667
161,Norway,1.1269,0.59609,0.37895,4,7.498,2016,NO,6,51.9,118.1,124.8,59.5,10.3,0.6,1.8558,0.9031,1.0549,42.1833333333333
162,Finland,1.13464,0.57104,0.25492,5,7.413,2016,FI,7.2,51,105.6,114.1,58.4,13.3,0.6,1.7487,0.8547,1.046,40.7666666666667
163,Canada,1.0961,0.5737,0.44834,6,7.404,2016,CA,13.8,53.3,101.9,101.4,41.7,7.1,0.3,1.5972,0.7767,1.0563,36.2666666666667
164,Netherlands,1.02912,0.55211,0.47416,7,7.339,2016,NL,3.8,33.8,103.7,137.7,66.1,10.7,0.4,1.7812,0.8685,1.051,42.0833333333333
165,New Zealand,1.17278,0.58147,0.49401,8,7.334,2016,NZ,27.7,70.4,107.1,124.1,63.2,12.3,0.6,2.0286,0.9905,1.048,49.7166666666667
166,Australia,1.10476,0.56837,0.47407,9,7.313,2016,AS,16.5,52.9,96.5,116.8,59,11.2,0.5,1.7669,0.8598,1.055,42.8166666666667
167,Sweden,1.08764,0.58218,0.38254,10,7.291,2016,SW,3.4,41.9,103.5,133.7,75.8,16.7,1.2,1.8807,0.914,1.0575,45.45
168,Israel,0.99537,0.36432,0.32288,11,7.267,2016,IS,14.8,103.3,166.7,147.8,78,20,1.8,2.662,1.2985,1.05,60.95
169,Austria,1.08383,0.54355,0.32865,12,7.119,2016,AU,8.7,45.5,89.8,92.8,47.7,8.7,0.5,1.4653,0.7137,1.053,33.9833333333333
170,United States,1.04782,0.48163,0.41077,13,7.104,2016,US,32.38,83.79,106.11,92.95,47.27,10.42,0.68,1.86822720352267,-9,-9,44.5816666666667
171,Costa Rica,1.02152,0.55225,0.22553,14,7.087,2016,CS,54.9,101.5,103.6,73,33.6,9.9,1,1.897,0.9254,1.05,45.65
